Idiom,Meaning
가는 말이 고와야 오는 말이 곱다,자기가 남에게 말이나 행동을 좋게 하여야 남도 자기에게 좋게 한다는 말.
가는 손님은 뒤꼭지가 예쁘다,손님 대접하기가 어려운 터에 손님이 속을 알아주어 빨리 돌아가니 고맙게 여긴다는 것을 비유적으로 이르는 말.
가늘게 먹고 가는 똥 싸라,너무 욕심을 부리다가는 봉변을 당하기 쉬우니 제힘에 맞게 적당히 취하라는 것을 비유적으로 이르는 말.
가랑비에 옷 젖는 줄 모른다, 아무리 사소한 것이라도 그것이 거듭되면 무시하지 못할 정도로 크게 됨을 비유적으로 이르는 말.
가랑잎에 떨어진 좁쌀알 찾기,찾아내기가 몹시 어려움을 비유적으로 이르는 말.
가랑잎으로 눈 가리고 아웅 한다,얕은수로 남을 속이려 한다는 말.
가랑잎으로 눈 가리기,"자기의 존재나 허물을 숨기려고 미련하게 애쓰는 경우를 비유적으로 이르는 말.,미련하여 아무리 애써도 제대로 일 처리를 하지 못함을 비유적으로 이르는 말."
가려운 곳을 긁어 주듯,남에게 꼭 필요한 것을 잘 알아서 그 욕구를 시원스럽게 만족시켜 줌을 비유적으로 이르는 말.
가마 안의 팥이 풀어져도 그 안에 있다,손해를 본 것 같지만 따지고 보면 손해를 본 것이 없음을 비유적으로 이르는 말.
가마가 검기로 밥도 검을까, 겉이 좋지 않다고 하여 속도 좋지 않을 것이라고 경솔하게 판단하지 말라는 말.
가마솥 밑이 노구솥 밑을 검다 한다, 남 못지않은 잘못이나 결함이 있는 사람이 제 흉은 모르고 남의 잘못이나 결함만을 흉봄을 비유적으로 이르는 말.
가물때 벗다,가뭄으로 입었던 재해가 사라지다.
가물에 콩 나듯, 어떤 일이나 물건이 어쩌다 하나씩 드문드문 있는 경우를 비유적으로 이르는 말.
가슴 앓다,안달하여 마음의 고통을 느끼다.
가시 돋은 꽃이 더 곱다,그저 순하고 얌전하기만 한 여자보다도 성미가 만만찮은 여자가 더 좋게 느껴짐을 비유적으로 이르는 말.
가시 먹은 것 같다,남에게서 받거나 얻어먹은 것이 마음에 걸려 꺼림칙하다.
가시 무서워 장 못 담그랴,다소 방해되는 것이 있다 하더라도 마땅히 할 일은 하여야 함을 비유적으로 이르는 말.
가시 찔리지 않고 밤 먹을 사람, 매우 약은 사람을 비유적으로 이르는 말.
가시어머니 모셔다 놓은 듯,까딱하지 않고 하는 일 없이 지내는 모양을 비유적으로 이르는 말.
가시어미 장 떨어지자 사위가 국 싫다 한다, 어떤 일이 서로 공교롭게도 때맞추어 일어남을 비유적으로 이르는 말.
가시한테 찔려야 밤 맛을 안다, 고생스럽게 힘을 들여야 일의 보람을 찾을 수 있음을 비유적으로 이르는 말.
가을 물은 소 발자국에 고인 물도 먹는다,가을 물이 매우 맑고 깨끗함을 비유적으로 이르는 말.
가을 식은 밥이 봄 양식이다, 풍족할 때 함부로 낭비하지 않고 절약하면 뒷날의 궁함을 면할 수 있음을 비유적으로 이르는 말.
가을마당에 빗자루 몽당이를 들고 춤을 추어도 농사 밑이 어둑하다, 농사일은 든든한 것임을 이르는 말.
가을밭은 안 갈아엎는다,가을에 밭농사가 끝난 뒤에는 그 밭을 그대로 두는 것이 좋다는 말.
가을밭을 밟으면 떡이 세 개요 봄밭을 밟으면 뺨이 세 개다,"가을걷이가 끝난 밭은 밟아 주는 것이 좋고, 봄에 녹아서 부푼 밭은 밟으면 안 된다는 것을 비유적으로 이르는 말."
가을비는 턱 밑에서도 긋는다,"가을비는 아주 잠깐 오다가 곧 그침을 비유적으로 이르는 말.,그때그때의 잔걱정은 순간적이어서 곧 지나가 버림을 비유적으로 이르는 말."
가을에 내 아비 제도 못 지내거든 봄에 의붓아비 제 지낼까, 형편이 넉넉할 때 꼭 치러야 할 일도 못하는 처지인데 어려운 때에 체면을 차리기 위해서 억지로 힘든 일을 할 수는 없음을 비유적으로 이르는 말.
가을에 못 지낸 제사를 봄에는 지낼까, 형편이 넉넉할 때 꼭 치러야 할 일도 못하는 처지인데 어려운 때에 체면을 차리기 위해서 억지로 힘든 일을 할 수는 없음을 비유적으로 이르는 말.
가을에 밭에 가면 가난한 친정에 가는 것보다 낫다,가을밭에는 먹을 것이 많다는 말.
가을에 친아비 제사도 못 지냈는데 봄에 의붓아비 제사 지낼까, 형편이 넉넉할 때 꼭 치러야 할 일도 못하는 처지인데 어려운 때에 체면을 차리기 위해서 억지로 힘든 일을 할 수는 없음을 비유적으로 이르는 말.
가재는 게 편,"모양이나 형편이 서로 비슷하고 인연이 있는 것끼리 서로 잘 어울리고, 사정을 보아주며 감싸 주기 쉬움을 비유적으로 이르는 말."
가재는 게 편이요 초록은 한 빛이라,"모양이나 형편이 서로 비슷하고 인연이 있는 것끼리 서로 잘 어울리고, 사정을 보아주며 감싸 주기 쉬움을 비유적으로 이르는 말."
가죽이 모자라서 눈을 냈는가, 남들은 다 잘 보는 것을 보지 못하는 사람을 핀잔하는 말.
가지 나무에 목을 맨다, 이것저것 가릴 처지가 아님을 비유적으로 이르는 말.
가지 많은 나무가 잠잠할 적 없다," 자식을 많이 둔 어버이에게는 근심, 걱정이 끊일 날이 없음을 비유적으로 이르는 말."
간 뒤집히다,까닭 없이 웃음을 나무라는 말.
간 마르다,몹시 초조하거나 안타까워서 속이 상하다.
간 말리다,근심과 걱정으로 초조해하고 안타까워하다.
간 바람 들다,하는 행동이 실없다.
간 불붙다,"당한 일이 몹시 다급하여 간장이 타는 것 같다.,몹시 울화가 나다."
간 졸이다,매우 걱정되고 불안스러워 마음을 놓지 못하다.
간 타다,너무 근심스럽고 안타까워 속이 타는 듯하다.
간도 쓸개도 없다,용기나 줏대 없이 남에게 굽히다.
간살 지르다,칸살을 둘 또는 여럿으로 나누기 위하여 칸막이를 건너지르다.
간언 들다,잘 어울리는 일에 이간하는 말이 끼어들다.
간에 가 붙고 쓸개에 가 붙는다,자기에게 조금이라도 이익이 되면 지조 없이 이편에 붙었다 저편에 붙었다 함을 비유적으로 이르는 말.
간에 기별도 안 가다,먹은 것이 너무 적어 먹으나 마나 하다.
간에 기별을 하다,먹으나 마나 한 아주 적은 양의 음식을 먹다.
간에 붙었다 쓸개에 붙었다 한다,자기에게 조금이라도 이익이 되면 지조 없이 이편에 붙었다 저편에 붙었다 함을 비유적으로 이르는 말.
간에 차지 않다,"먹은 것이 너무 적어 먹으나 마나 하다.,마음에 흡족히 여겨지지 않다."
간이 뒤집혔나 허파에 바람이 들었나,마음의 평정을 잃고 까닭 없이 웃음을 핀잔하는 말.
간이 벌름거리다,몹시 두렵거나 놀라워 가슴이 두근거리다.
간이 오그라들다,몹시 두려워지거나 무서워지다.
간이 조마조마하다,마음이 초조하고 불안하다.
간이 콩알만 하다,몹시 겁이 나서 기를 펴지 못하다.
간이 콩알만 해지다,몹시 두려워지거나 무서워지다.
간이라도 빼어 먹이겠다,아주 친한 사이이므로 아무리 소중한 것이라도 아낌없이 내어 줄 수 있음을 비유적으로 이르는 말.
간이라도 빼어 줄 듯,무엇이라도 아낌없이 내줄 듯한 태도를 비유적으로 이르는 말.
간장 종지 노릇 하다, 어떤 대상에게 딱 달라붙어서 굽실거리며 알랑댐을 이르는 말.
갈 데까지 가다,"도달할 수 있는 가장 극단의 상태나 상황이 되다.,성관계를 맺다."
갈바람에 곡식이 혀를 빼물고 자란다,가을이 오려고 서풍이 불기 시작하면 곡식들이 놀랄 만큼 빨리 자라고 익어 감을 비유적으로 이르는 말.
감 들다,"논밭의 물기가 흙밥이 잘 부스러질 정도로 알맞게 되다.,염전이 소금을 생산하기에 알맞게 되다."
감과 고욤은 두들겨 따야 잘 열린다, 무슨 일이든지 이치에 맞게 하여야 큰 성과가 이루어짐을 비유적으로 이르는 말.
감나무 밑에 누워도 삿갓 미사리를 대어라, 의당 자기에게 올 기회나 이익이라도 그것을 놓치지 않으려는 노력이 필요함을 이르는 말.
갑인년 흉년에도 먹다 남은 것이 물이다,"아무리 흉년이라도 물마저 말라 버리는 일은 없다는 것을 비유적으로 이르는 말.,물 한 모금도 얻어먹기 어려운 경우를 이르는 말."
값싼 갈치자반 ,값이 싸면서도 쓸 만한 물건을 이르는 말.
갓 쓰고 당나귀 타고 다니던 때,근대적 문명에서 뒤떨어진 조선 시대를 이르는 말.
갓 쓰고 박치기해도 제멋, 남이 어떤 짓을 하거나 제 마음대로 하게 내버려 두라는 말.
강 건너 불 보듯,자기에게 관계없는 일이라고 하여 무관심하게 방관하는 모양.
강물에 소 지나간 것 같다, 흔적이나 자취가 없어져 전혀 알려지지 않거나 알 수 없음을 이르는 말.
강물이 흘러도 돌은 굴지 않는다, 세태에 흔들리지 아니하고 지조 있게 꿋꿋이 행동함을 비유적으로 이르는 말.
강아지 똥은 똥이 아닌가,"약간의 차이는 있다 하더라도 그 본질은 다 같음을 비유적으로 이르는 말.,나쁜 짓을 조금 했다고 하여 안 했다고 발뺌을 할 수는 없음을 비유적으로 이르는 말."
강철이 간 데는 가을도 봄, 악한 방해자가 나타나거나 불운이 겹쳐서 다 되어 가던 일을 망치는 경우를 이르는 말.
강태공 위수 변에 주 문왕 기다리듯,큰 뜻을 품고 때가 오기를 기다리는 모양을 비유적으로 이르는 말.
갖은 황아다, 여러 가지 것이 골고루 많이 있는 것을 이르는 말.
갗에서 좀 난다," 화근이 그 자체에 있음을 비유적으로 이르는 말.,형제간이나 동류끼리의 싸움은 양편에 다 해로울 뿐임을 비유적으로 이르는 말."
같은 값이면 은가락지 낀 손에 맞으랬다,꾸지람을 듣거나 벌을 받을 경우라도 이왕이면 덕 있고 이름 있는 사람에게 당하는 것이 좋음을 비유적으로 이르는 말.
같은 물에 놀다,같은 환경에서 한데 몰려다니며 같은 짓을 하다.
같은 손가락에도 길고 짧은 것이 있다,아무리 같은 조건에 있다고 하더라도 조금씩은 서로 차이가 있게 마련이라는 것을 비유적으로 이르는 말.
개 귀에 방울,옷차림이나 지닌 물건 따위가 제격에 맞지 아니하여 어울리지 않음을 비유적으로 이르는 말.
개 꾸짖듯,체면을 보지 않고 막되게 꾸짖음을 이르는 말.
개 눈에는 똥만 보인다,평소에 자신이 좋아하거나 관심을 가지고 있는 것만이 눈에 띈다는 것을 놀림조로 이르는 말.
개 닭 보듯,서로 무심하게 보는 모양을 비유적으로 이르는 말.
개 대가리에 관,옷차림이나 지닌 물건 따위가 제격에 맞지 아니하여 어울리지 않음을 비유적으로 이르는 말.
개 머루 먹듯,"참맛도 모르면서 바삐 먹어 치우는 것을 이르는 말.,내용이 틀리거나 말거나 일을 건성건성 날려서 함을 비유적으로 이르는 말.,뜻도 모르면서 아는 체함을 이르는 말."
개 못된 것은 들에 가서 짖는다, 제가 마땅히 해야 할 일은 하지 아니하고 아무 소용도 없는 데 가서 잘난 체하고 떠드는 행동을 이르는 말.
개 발에 편자,옷차림이나 지닌 물건 따위가 제격에 맞지 아니하여 어울리지 않음을 비유적으로 이르는 말.
개 발에 땀 나다,해내기 어려운 일을 이루기 위하여 부지런히 움직임을 이르는 말.
개 보름 쇠듯 , 남들은 다 잘 먹고 지내는 명절 같은 날에 제대로 먹지도 못하고 지냄을 비유적으로 이르는 말.
개 새끼 끌고 다니듯,이리저리로 마구 끌고 다니는 모습을 비유적으로 이르는 말.
개 새끼 밉다니까 우쭐대며 똥 싼다,얄미운 놈이 잘난 체하며 못되게 구는 꼴을 비속하게 이르는 말.
개 새끼 한 마리 얼씬하지 않다, 아무것도 다니지 않고 조용함을 이르는 말.
개 새끼는 도둑 지키고 닭 새끼는 홰를 친다,사람은 저마다의 분수와 소임이 따로 있음을 비유적으로 이르는 말.
개 새끼도 주인을 보면 꼬리를 친다, 배은망덕한 사람을 꾸짖어 이르는 말.
개 새끼치고 물지 않는 종자 없다,배우거나 익히지 않아도 타고난 천성은 저절로 드러남을 비유적으로 이르는 말.
개 싸대듯,아무 데나 함부로 마구 쏘다니다.
개 잡듯,개를 잡을 때처럼 함부로 치고 때리다.
개 팔아 두 냥 반, 못난 양반을 놀림조로 이르는 말.
개 팔자가 상팔자," 일이 분주하거나 고생스러울 때 넋두리로 하는 말.,제 팔자가 하도 나쁘니 차라리 개 팔자가 더 좋겠다고 넋두리로 하는 말."
개 패듯,함부로 때리고 치다.
개 호랑이가 물어 간 것만큼 시원하다, 꺼림칙한 것이 없어져 개운하고 시원함을 이르는 말.
개가 개를 낳지, 못난 어버이에게서 못난 자식이 나지 별 수 없음을 비유적으로 이르는 말.
개가 룡상에 앉은 격, 전혀 격에 어울리지 아니하는 자리에 앉은 것을 비꼬는 말.
개가 미쳐 나면 소도 미쳐 난다,어느 한 대상의 영향을 다른 대상이 받게 됨을 비유적으로 이르는 말.
개가 미친다고 소까지 미치겠나, 남의 장단에 함께 춤출 수 없음을 이르는 말.
개가 약과 먹은 것 같다,참맛도 모르면서 바삐 먹어 치우는 것을 이르는 말.
개가 짖어도 행차는 간다,비록 하찮은 것이 방해를 한다 하더라도 거기에 상관없이 일이 예정대로 진행됨을 이르는 말.
개같이 벌어서 정승같이 산다,돈을 벌 때는 천한 일이라도 하면서 벌고 쓸 때는 떳떳하고 보람 있게 씀을 비유적으로 이르는 말.
개구리 삼킨 뱀의 배,보기와는 달리 꼿꼿하고 고집이 센 사람을 비유적으로 이르는 말.
개구리 올챙이 적 생각 못 한다,형편이나 사정이 전에 비하여 나아진 사람이 지난날의 미천하거나 어렵던 때의 일을 생각지 아니하고 처음부터 잘난 듯이 뽐냄을 비유적으로 이르는 말.
개구멍으로 통량갓을 굴려 낼 놈,남을 속이는 데 놀랄 만큼 교묘한 사람을 비꼬는 말.
개나발 불다,사리에 맞지 아니하는 헛소리를 하다.
개는 나면서부터 짖는다,못된 짓을 하는 사람도 타고난 성품임을 비유적으로 이르는 말.
개도 무는 개를 돌아본다,"사람 사이에서도 영악하고 사나운 사람에게는 해를 입게 될 것을 두려워하여 도리어 잘 대함을 비유적으로 이르는 말.,너무 순하기만 하면 도리어 무시당하거나 관심을 끌지 못함을 비유적으로 이르는 말."
개도 손 들 날이 있다," 어려운 처지에 있는 사람일지라도 반가운 사람을 만나 기쁨을 나눌 수 있는 기회가 있음을 이르는 말.,나들이할 때 옷가지 등의 준비가 없음을 스스로 한탄하여 이르는 말."
개도 안 짖고 도적 맞는다,미처 손쓸 사이도 없이 감쪽같이 잃어버리는 것을 비유적으로 이르는 말.
개도 제 주인을 보면 꼬리 친다, 배은망덕한 사람을 꾸짖어 이르는 말.
개도 하루에 겨 세 홉 녹은 있다,사람은 어떻게 해서든 세 끼 밥은 먹게 됨을 비유적으로 이르는 말.
개똥도 약에 쓰려면 없다,평소에 흔하던 것도 막상 긴하게 쓰려고 구하면 없다는 말.
개똥밭에 이슬 내릴 때가 있다,몹시 고생을 하는 삶도 좋은 운수가 터질 날이 있다는 말.
개똥이라도 씹은 듯,불쾌하여 심하게 찌푸린 얼굴을 비유적으로 이르는 말.
개를 친하면 옷에 흙칠을 한다,못된 사람과 친하면 해로움을 비유적으로 이르는 말.
개미 새끼 하나 볼 수 없다,아무도 찾아볼 수 없다.
개미구멍 하나가 큰 제방 둑을 무너뜨린다,작은 결점이라 하여 등한히 하면 그것이 점점 더 커져서 나중에는 큰 결함을 가져오게 됨을 비유적으로 이르는 말.
개뼈다귀 은 올린다,전혀 쓸데없는 데에 돈을 들여서 장식함을 비꼬는 말.
개살구도 맛 들일 탓, 정을 붙이면 처음에 나빠 보이던 것도 점차 좋아짐을 비유적으로 이르는 말.
개싸움에는 모래가 제일이라,맞붙어 싸우는 사람을 말려도 듣지 않을 때 흙을 끼얹으면서 하는 말.
개암 도르다,매가 먹었던 먹이에서 고기는 삭이고 개암만 토해 내다.
개암 지르다,매의 먹이에 솜뭉치를 넣어 주다.
개에 호패,옷차림이나 지닌 물건 따위가 제격에 맞지 아니하여 어울리지 않음을 비유적으로 이르는 말.
개에게 된장 덩어리 지키게 하는 격,믿지 못할 사람에게 맡겨서 일을 망치는 경우를 비유적으로 이르는 말.
개장수도 올가미가 있어야 한다,무슨 일을 하든지 거기에 필요한 준비와 도구가 있어야 함을 비유적으로 이르는 말.
개천 치다 금을 줍는다,큰 힘을 들이지 않고 우연히 횡재를 하거나 큰 성과를 거두게 된 경우를 이르는 말.
개천아 네 그르냐 눈먼 봉사 내 그르냐,자기가 잘못한 것을 가지고 남을 원망하거나 탓하여도 소용없다는 말.
개천에 나도 제 날 탓이라,아무리 미천한 집안에서 태어나도 저만 잘나면 훌륭하게 될 수 있다는 말.
개천에 든 소, 이리하거나 저리하거나 풍족한 형편에 놓인 사람 또는 그런 형편을 비유적으로 이르는 말.
개화물 먹다,개화사상의 풍조를 따르거나 영향을 받다.
개화물이 들다,개화사상의 풍조를 긍정하고 따르게 되다.
객줏집 칼도마 같다, 이마와 턱이 나오고 눈 아래가 움푹 들어간 얼굴을 놀림조로 이르는 말.
객지 생활 삼 년에 골이 빈다,객지에서 남이 아무리 잘해 준다 해도 고생이 되므로 여위어서 허울만 남게 된다는 말.
거문고 인 놈이 춤을 추면 칼 쓴 놈도 춤을 춘다,자기는 도저히 할 만한 처지가 아닌데도 남이 하는 짓을 덩달아 흉내 내다가 웃음거리가 됨을 비유적으로 이르는 말.
거미 줄 따르듯,밀접한 관계가 있어서 서로 떨어지지 않고 따라다닌다는 말.
거미도 줄을 쳐야 벌레를 잡는다,무슨 일이든지 거기 필요한 준비가 있어야 그 결과를 얻을 수 있다는 말.
거미줄 늘이다,피의자나 죄인을 잡기 위하여 여러 방면에 수사망을 널리 펴 놓다.
거적 쓴 놈 내려온다,몹시 졸려서 눈꺼풀이 내려 감긴다는 말.
거적문 드나들던 버릇,문을 드나들 때 문을 닫지 않고 다니는 나쁜 버릇을 이르는 말.
거적문이 문이러냐 의붓아비 아비러냐,의붓아버지는 아버지로 여길 것이 못 된다는 말.
거지 옷 해 입힌 셈 친다," 대가나 보답을 바라지 않고 자비를 베풀어 줌을 이르는 말.,마음에 없는 사람에게 무엇을 주었거나, 뜻하지 않은 손해를 보았을 때 자기 위안 삼아 이르는 말."
거지 조상 안 가진 부자 없고 부자 조상 안 가진 거지 없다,빈부귀천은 타고나는 것이 아님을 비유적으로 이르는 말.
거지 턱을 쳐 먹어라,하는 짓이 더럽고 치사스러운 사람을 비웃는 말.
거지가 꿀 얻어먹기,매우 일어나기 어려운 일을 이르는 말.
거지가 말 얻은 것," 괴로운 중에 더욱 괴로운 일이 생겼음을 이르는 말.,자기 분수에 넘치는 것을 얻어 가지고 자랑함을 비웃는 말."
거지가 밥술이나 먹게 되면 거지 밥 한 술 안 준다,가난하게 살던 사람이 좀 형편이 나아지면 도리어 어려운 사람을 생각할 줄 모른다는 말.
거지도 손 볼 날이 있다, 어려운 처지에 있는 사람일지라도 반가운 사람을 만나 기쁨을 나눌 수 있는 기회가 있음을 이르는 말.
거짓말 보태다,실지보다 더 보태어 과장해서 말하다.
거짓말하고 뺨 맞는 것보다 낫다,좀 무안하더라도 사실을 사실대로 말해야지 거짓말을 하면 안 된다는 말.
거칠 것이 없다,"일이 순조로워서 막힘이 없다.,사람을 대함에 있어 아무런 거리낌이 없다."
걱정도 팔자,하지 않아도 될 걱정을 하거나 관계도 없는 남의 일에 참견하는 사람에게 놀림조로 이르는 말.
건너다보니 절터,"겉으로만 보아도 거의 틀림없을 만한 짐작이 든다는 말.,일의 결과가 신통치 않음이 뻔하게 내다보인다는 말.,아무리 욕심을 내어도 남의 것이기 때문에 뜻대로 할 수 없다는 말."
건너다보니 절터요 찌그르르하니 입맛,걸핏하면 아이들이 먹을 것을 주지 않나 하고 기대하는 것을 놀림조로 이르는 말.
건넛마을 불구경하듯,자기에게 관계없는 일이라고 하여 무관심하게 방관하는 모양.
건밭에 부룻동,미끈하게 키가 크고 곧은 것을 비유적으로 이르는 말.
건즐 받들다,여자가 아내나 첩이 됨을 겸손하게 이르는 말.
걸음발 타다,"어린아이가 처음으로 걸음걸이를 익히다.,걸음을 익혀 비틀거리며 걷기 시작하다."
검은 머리 파 뿌리 되도록, 오래 살아 아주 늙을 때까지를 이르는 말.
검정개 한 마리 얼씬하지 않다, 아무것도 다니지 않고 조용함을 이르는 말.
검정고양이 눈 감은 듯, 경계가 뚜렷하지 않아 분간하기 어려움을 비유적으로 이르는 말.
겁 질리다,잔뜩 겁을 먹어서 기를 못 쓰다.
겉 다르고 속 다르다,"겉으로 드러나는 행동과 마음속으로 품고 있는 생각이 서로 달라서 사람의 됨됨이가 바르지 못함을 이르는 말.,마음속으로는 좋지 않게 생각하면서 겉으로는 좋은 것처럼 꾸며서 행동한다는 말."
겉 보기가 속 보기,겉으로 드러나 보이는 모양만 보아도 속까지 가히 짐작해서 알 수 있다는 말.
겉 보기와 안 보기가 다르다,마음속으로는 좋지 않게 생각하면서 겉으로는 좋은 것처럼 꾸며서 행동한다는 말.
겉가마도 안 끓는데 속가마부터 끓는다,제 순서를 기다리지 못하고 덤벙인다는 말.
겉과 속이 다르다,마음속으로는 좋지 않게 생각하면서 겉으로는 좋은 것처럼 꾸며서 행동한다는 말.
겉물 돌다,액체의 위에 겉물이 떠서 돌다.
겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다, 아주 하기 쉬운 일을 비유적으로 이르는 말.
겉보리 서 말만 있으면 처가살이하랴,"여북하면 처가살이를 하겠느냐는 말.,처가살이는 할 것이 못 됨을 이르는 말."
겉보리 술 막치 사람 속인다,겉보기와는 달리 맹랑한 사람을 비유적으로 이르는 말.
겉보리를 껍질째 먹은들 시앗이야 한집에 살랴,아무리 고생을 하고 살망정 남편의 첩과 한집에서 살 수는 없음을 비유적으로 이르는 말.
겉은 검어도 속은 희다,"겉으로 보기에는 나쁘고 언짢은 것 같지만 실지 내용은 좋다는 말.,겉과 속이 같지 않은 것을 비유적으로 이르는 말."
겉은 늙어도 속은 새파랗다,비록 몸은 늙었어도 마음속에 생각하는 것은 한창 젊었을 때와 같다는 말.
게 눈 감추듯,음식을 허겁지겁 빨리 먹어 치움을 비유적으로 이르는 말.
게 등에 소금 치기,아무리 해도 쓸데없는 짓을 이르는 말.
게 잡아 물에 놓았다," 아무런 소득 없이 헛수고만 함을 이르는 말.,조금 이익을 보았다가 다시 찾지 못하게 잃어버렸다는 말."
게걸 떼다,마음껏 먹어서 더 먹고 싶은 마음이 없어지다.
게걸음 치다,"옆으로 걸어 나가다.,걸음이 몹시 느리거나 사업이 발전이 없다."
게도 구럭도 다 잃었다, 무슨 일을 하려다가 아무 소득도 얻지 못하고 도리어 손해만 봄을 이르는 말.
게도 제 구멍이 아니면 들어가지 않는다,남의 영역을 함부로 침범하지 않는다는 말.
겨냥 대다,활이나 총을 쏠 때 목표물에 맞도록 어림을 잡다.
겨울 추위에는 살이 시리지만 봄 추위에는 뼈가 시리다,이른 봄철에 찬 바람이 휘몰아치면서 변덕을 부리는 추위가 만만하지 않음을 이르는 말.
겨울을 지내보아야 봄 그리운 줄 안다,사람은 어려운 시련과 고통을 겪어 보아야 삶의 참된 보람을 알 수 있게 됨을 이르는 말.
겨울이 다 되어야 솔이 푸른 줄 안다, 위급하거나 어려운 고비를 당하여 보아야 비로소 그 사람의 진가를 알 수 있음을 비유적으로 이르는 말.
겨울이 지나지 않고 봄이 오랴, 시련과 곤란을 극복하여야 승리와 성과를 얻을 수 있음을 비유적으로 이르는 말.
격 두다,사람과 사람 사이에 일정한 간격을 두다.
격 치다,"윷놀이에서, 가까운 밭으로 갈 수 있게 바라는 끗수를 내다."
결 삭다,성이 난 마음이 풀려 부드러워지다.
결박 짓다,결박을 단단히 하다.
경신 새다,섣달 중의 경신에 해당하는 날에 밤을 새우다.
경위가 삼칠장이라,"투전에서 끗수가 3, 7, 10이면 끗수가 없는 판이 된다는 데에서 사물의 옳고 그름과 좋고 나쁨을 가리지 못함을 이르는 말."
경주 돌이면 다 옥석인가,"좋은 일 가운데 궂은일도 섞여 있다는 말.,사물을 평가할 때, 그것이 나는 곳이나 그 이름만을 가지고서 판단할 수 없다는 말."
곁 비다,보호하거나 지킬 사람이 곁에 없다.
곁 주다,다른 사람으로 하여금 자기에게 가까이할 수 있도록 속을 터 주다.
계란에도 뼈가 있다,"늘 일이 잘 안되던 사람이 모처럼 좋은 기회를 만났건만, 그 일마저 역시 잘 안됨을 이르는 말."
계집 때린 날 장모 온다,곤란한 처지에 있는데 더욱 곤란한 일을 당하게 됨을 비유적으로 이르는 말.
계집 바뀐 건 모르고 젓가락 짝 바뀐 건 안다,"큰 변화는 모르고 지내면서, 소소하게 달라진 것에 대해서는 떠듦을 핀잔하는 말."
계집은 남의 것이 곱고 자식은 제 새끼가 곱다,"자식에 대한 부모의 정은 더할 나위가 없음을 이르는 말.,남의 여자를 넘겨다보며 자기 아내에 대하여 불만을 가지는 실없는 남자의 마음을 이르는 말."
계집의 얼굴은 눈의 안경,여자의 얼굴이 곱고 미운 것은 보는 사람에 따라 다르다는 말.
고개 꼬다,"이리저리 생각하면서 망설이느라고 고개를 이리저리 돌리다.,믿지 아니하고 의심하여 고개를 이리저리 돌리다."
고개를 내밀다,"세력, 감정 따위가 나타나거나 생기다."
고기 한 점이 귀신 천 머리를 쫓는다,귀신이 붙은 듯이 몸이 쇠약해졌을 때라도 충분히 먹고 제 몸을 돌보는 것이 건강을 회복하는 가장 빠른 길임을 비유적으로 이르는 말.
고기는 씹어야 맛을 안다,"겉으로만 핥아서는 그 진미를 모른다는 말.,무엇이든 바로 알려면 실제로 겪어 보아야 한다는 말."
고기는 씹어야 맛이요 말은 해야 맛이라,하고 싶은 말이나 해야 할 말은 시원히 다 해 버려야 좋다는 말.
고기는 안 익고 꼬챙이만 탄다,경영하는 일은 잘 안되고 낭패만 본다는 말.
고랑도 이랑 될 날 있다,몹시 고생을 하는 삶도 좋은 운수가 터질 날이 있다는 말.
고려 적 잠꼬대 ,"현실과 전혀 동떨어진, 말 같지 아니한 소리를 비유적으로 이르는 말."
